CustomerID,Churn,MonthlyRevenue,MonthlyMinutes,TotalRecurringCharge,DirectorAssistedCalls,OverageMinutes,RoamingCalls,PercChangeMinutes,PercChangeRevenues,DroppedCalls,BlockedCalls,UnansweredCalls,CustomerCareCalls,ThreewayCalls,ReceivedCalls,OutboundCalls,InboundCalls,PeakCallsInOut,OffPeakCallsInOut,DroppedBlockedCalls,CallForwardingCalls,CallWaitingCalls,MonthsInService,UniqueSubs,ActiveSubs,ServiceArea,Handsets,HandsetModels,CurrentEquipmentDays,AgeHH1,AgeHH2,ChildrenInHH,HandsetRefurbished,HandsetWebCapable,TruckOwner,RVOwner,Homeownership,BuysViaMailOrder,RespondsToMailOffers,OptOutMailings,NonUSTravel,OwnsComputer,HasCreditCard,RetentionCalls,RetentionOffersAccepted,NewCellphoneUser,NotNewCellphoneUser,ReferralsMadeBySubscriber,IncomeGroup,OwnsMotorcycle,AdjustmentsToCreditRating,HandsetPrice,MadeCallToRetentionTeam,CreditRating,PrizmCode,Occupation,MaritalStatus
3004926,No,30.27,108.0,30.0,0.0,0.0,0.0,-49.0,-0.3,0.7,0.3,11.7,0.3,0.0,41.1,7.3,1.3,21.7,15.3,1.0,0.0,0.3,43,1,1,SANMCA210,2.0,2.0,555.0,32.0,50.0,No,No,Yes,Yes,Yes,Known,Yes,Yes,No,No,No,Yes,0,0,Yes,No,0,6,No,0,30,No,1-Highest,Town,Professional,Yes
3005038,Yes,35.51,15.0,35.0,0.25,0.0,0.0,-4.0,-0.6,0.0,0.7,3.3,0.0,0.0,1.3,2.0,0.0,7.7,2.0,0.7,0.0,0.0,43,1,1,STLSTL314,2.0,2.0,669.0,58.0,60.0,No,Yes,No,No,No,Known,Yes,Yes,No,No,Yes,Yes,0,0,No,Yes,0,9,No,0,30,No,1-Highest,Suburban,Professional,Yes
3005250,Yes,32.78,195.0,30.0,1.49,0.0,0.0,-60.0,-1.8,1.7,6.3,33.0,0.3,0.3,4.7,11.3,4.0,63.3,24.0,8.0,0.0,0.7,43,2,2,SANSAN210,3.0,2.0,586.0,54.0,46.0,No,Yes,Yes,Yes,No,Known,Yes,Yes,No,No,No,Yes,0,0,No,Yes,0,7,No,0,10,No,3-Good,Suburban,Other,Yes
3005298,No,33.76,167.0,40.0,0.25,0.0,0.0,-52.0,-0.5,0.3,0.3,23.3,0.0,0.0,38.1,3.7,5.7,26.3,13.3,0.7,0.0,0.0,43,1,1,SANAUS512,3.0,3.0,575.0,56.0,50.0,No,No,Yes,Yes,No,Known,Yes,Yes,No,No,No,Yes,0,0,Yes,No,0,7,No,0,30,No,1-Highest,Suburban,Other,Yes
3005522,No,30.52,78.0,30.0,0.25,0.0,0.0,20.0,-0.5,0.3,0.3,2.3,0.0,0.0,18.7,4.0,2.7,23.3,2.0,0.7,0.0,0.0,43,1,1,KCYKCK913,2.0,2.0,203.0,22.0,0.0,Yes,Yes,No,No,No,Known,No,No,No,No,No,Yes,0,0,Yes,No,0,7,No,0,30,No,1-Highest,Other,Other,No
3005574,No,47.96,242.0,50.0,0.0,0.0,0.1,-30.0,-8.3,0.0,2.0,13.7,0.0,0.0,36.2,10.7,1.7,57.0,31.0,2.0,0.0,1.7,43,1,1,DALFTW817,2.0,2.0,527.0,34.0,32.0,Yes,No,Yes,Yes,No,Known,Yes,Yes,No,No,Yes,Yes,0,0,No,Yes,0,7,No,0,30,No,1-Highest,Other,Other,Yes
3005650,No,28.23,71.0,20.0,0.0,40.0,0.0,-13.0,-3.0,0.3,0.0,3.3,0.0,0.0,28.2,8.3,5.0,23.3,2.3,0.3,0.0,1.7,43,1,1,DETPON248,2.0,2.0,887.0,44.0,24.0,Yes,Yes,No,Yes,Yes,Known,Yes,Yes,No,No,Yes,Yes,0,0,No,Yes,0,6,No,0,30,No,1-Highest,Town,Self,Unknown
3005870,No,50.45,120.0,50.0,0.0,0.0,0.0,8.0,-0.4,3.0,0.0,4.0,0.0,0.0,10.3,4.7,1.0,32.3,13.0,3.0,0.0,0.0,43,1,1,SFROAK510,2.0,2.0,355.0,46.0,0.0,Yes,No,Yes,No,No,Known,No,No,No,No,Yes,Yes,0,0,No,Yes,0,9,No,0,30,No,1-Highest,Suburban,Other,Yes
3006050,No,30.61,9.0,30.0,0.0,0.0,0.3,-3.0,0.8,0.3,0.0,1.0,0.3,0.0,1.1,3.7,0.7,2.7,3.3,0.3,0.0,0.0,43,1,1,OMAOMA402,2.0,2.0,893.0,38.0,0.0,No,Yes,No,Yes,No,Known,No,No,No,No,No,Yes,0,0,No,Yes,0,3,No,0,30,No,4-Medium,Town,Other,No
3006266,Yes,42.87,61.0,42.0,0.0,0.0,0.0,-59.0,-0.4,0.0,1.3,2.0,0.0,0.0,24.5,4.0,2.0,14.3,7.3,1.3,0.0,0.0,43,2,2,MIAFTL954,2.0,2.0,749.0,30.0,30.0,Yes,No,Yes,No,No,Known,No,No,No,No,Yes,Yes,0,0,No,No,0,4,No,0,30,No,1-Highest,Other,Other,Yes
